run,job_id,account,network,dataset,batch_size,granularity,base,meta,meta_stepsize,alpha0,gamma,augment,beta_clip,hier,lam,eta_ratio,seed,epochs_done,epochs_requested,best_test,final_test,final_train,collapsed,node,wallclock_min,provenance,dup_group,superseded,ep_to_85,ep_to_88,ep_to_90,plateau,ep_in_band_90,plateau5,auc,window_ok,complete
sc-ResNet10-add-s1,4683081,Account1,ResNet10,CIFAR10,100,layerwise,SGDm,Lion,1e-3,1e-6,1,1,-15:-2.3026,additive,na,0.06,1,100,100,90.74,90.44,95.21,0,[HOST_bcfd0fc19c],21,env,,0,37,41,57,90.335,55,90.446,73.242,1,1
ff5-r10-lay-s1,4702132,Account1,ResNet10,CIFAR10,100,layerwise,SGDm,Lion,1e-3,1e-3,1,1,-15:-2.3026,,na,na,1,20,20,86.39,86.39,88.87,0,[HOST_6dc36997e3],6,env,,0,20,,,70.192,0,84.688,70.192,0,1
p7-r10-lay-s1,4685327,Account1,ResNet10,CIFAR10,100,layerwise,SGDm,Lion,1e-3,1e-3,1,1,-15:-2.3026,,na,na,1,20,20,86.49,86.49,88.94,0,[HOST_2f2f29d9e1],4,env,,0,20,,,70.488,0,84.964,70.488,0,1
uc5-r10-lay-s1,4702374,Account1,ResNet10,CIFAR10,100,layerwise,SGDm,Lion,1e-3,1e-3,1,1,-30:0.0,,na,na,1,20,20,86.21,86.21,88.87,0,[HOST_2f2f29d9e1],4,env,,0,20,,,70.034,0,84.676,70.034,0,1
fz3-r10-lay-s1,4701799,Account1,ResNet10,CIFAR10,100,layerwise,SGDm,fixed,1e-3,1e-3,1,1,-15:-2.3026,,na,na,1,20,20,62.04,61.3,63.93,0,[HOST_e8d809bd94],4,env,,0,,,,50.436,0,60.75,50.436,0,1
r10-r1-s1,4683338,Account2,ResNet10,CIFAR10,100,layerwise,SGDm,Lion,1e-3,1e-6,1,1,-15:-2.3026,additive,na,1,1,100,100,90.96,90.75,99.46,0,[HOST_3c1b003035],64,env,,0,34,46,61,90.451,43,90.696,75.884,1,1
r10c-r1-s1,4684280,Account2,ResNet10,CIFAR10,100,layerwise,SGDm,Lion,1e-3,1e-3,1,1,-15:-2.3026,additive,na,1,1,100,100,91.62,91.23,99.79,0,[HOST_03eb56b6d1],21,env,,0,20,26,36,91.172,47,91.26,86.183,1,1
r10-r0-s1,4683317,Account2,ResNet10,CIFAR10,100,layerwise,SGDm,Lion,1e-3,1e-6,1,1,-15:-2.3026,additive,na,0,1,100,100,82.86,82.04,84.28,0,[HOST_2739ecbbce],60,env,,0,,,,82.19,0,82.212,66.59,1,1
r10-r007-s1,4683329,Account2,ResNet10,CIFAR10,100,layerwise,SGDm,Lion,1e-3,1e-6,1,1,-15:-2.3026,additive,na,0.07,1,100,100,91.23,90.91,96.41,0,[HOST_2739ecbbce],61,env,,0,37,41,44,90.745,54,90.776,73.614,1,1
r10-r02-s1,4683335,Account2,ResNet10,CIFAR10,100,layerwise,SGDm,Lion,1e-3,1e-6,1,1,-15:-2.3026,additive,na,0.2,1,100,100,91.06,90.92,99.32,0,[HOST_f0845cc956],21,env,,0,35,39,50,90.816,57,90.85,74.391,1,1
r10b-r03-s1,4683623,Account2,ResNet10,CIFAR10,100,layerwise,SGDm,Lion,1e-3,1e-6,1,1,-15:-2.3026,additive,na,0.3,1,100,100,91.05,90.81,99.27,0,[HOST_03eb56b6d1],21,env,,0,33,40,63,90.553,46,90.834,74.411,1,1
r10b-r008-s1,4683617,Account2,ResNet10,CIFAR10,100,layerwise,SGDm,Lion,1e-3,1e-6,1,1,-15:-2.3026,additive,na,0.08,1,100,100,91.5,91.1,97.34,0,[HOST_2f2f29d9e1],21,env,,0,37,40,44,91.079,31,91.23,73.953,1,1
r10-r01-s1,4683332,Account2,ResNet10,CIFAR10,100,layerwise,SGDm,Lion,1e-3,1e-6,1,1,-15:-2.3026,additive,na,0.1,1,100,100,91.75,91.16,98.36,0,[HOST_3c1b003035],64,env,,0,35,40,42,91.532,13,91.43,74.374,1,1
r10c-r005-s1,4684268,Account2,ResNet10,CIFAR10,100,layerwise,SGDm,Lion,1e-3,1e-3,1,1,-15:-2.3026,additive,na,0.05,1,100,100,89.12,88.76,92.42,0,[HOST_2f2f29d9e1],21,env,,0,22,44,,88.646,1,88.796,83.061,1,1
r10b-r04-s1,4683626,Account2,ResNet10,CIFAR10,100,layerwise,SGDm,Lion,1e-3,1e-6,1,1,-15:-2.3026,additive,na,0.4,1,100,100,90.97,90.47,99.22,0,[HOST_3c1b003035],64,env,,0,33,47,66,90.463,47,90.758,74.665,1,1
r10-r005-s1,4683323,Account2,ResNet10,CIFAR10,100,layerwise,SGDm,Lion,1e-3,1e-6,1,1,-15:-2.3026,additive,na,0.05,1,100,100,90.38,89.88,94.0,0,[HOST_2739ecbbce],61,env,,0,38,44,74,89.847,46,90.026,72.708,1,1
r10b-r015-s1,4683620,Account2,ResNet10,CIFAR10,100,layerwise,SGDm,Lion,1e-3,1e-6,1,1,-15:-2.3026,additive,na,0.15,1,100,100,91.68,90.85,99.15,0,[HOST_e8d809bd94],21,env,,0,35,39,42,91.261,24,91.234,74.585,1,1
r10c-r01-s1,4684271,Account2,ResNet10,CIFAR10,100,layerwise,SGDm,Lion,1e-3,1e-3,1,1,-15:-2.3026,additive,na,0.1,1,100,100,90.25,89.37,94.19,0,[HOST_2739ecbbce],61,env,,0,20,29,76,89.692,47,89.674,84.25,1,1
sa3-ResNet10-add-s1,4683453,Account2,ResNet10,CIFAR10,100,layerwise,SGDm,Lion,1e-3,1e-3,1,1,-15:-2.3026,additive,na,0.06,1,100,100,89.43,88.91,92.68,0,[HOST_e8d809bd94],21,env,,0,21,42,,89.013,13,89.088,83.332,1,1
r10-r003-s1,4683320,Account2,ResNet10,CIFAR10,100,layerwise,SGDm,Lion,1e-3,1e-6,1,1,-15:-2.3026,additive,na,0.03,1,100,100,89.4,88.73,91.94,0,[HOST_3c1b003035],64,env,,0,40,59,,88.904,8,88.964,71.863,1,1
sa3-ResNet10-layer-s1,4683452,Account2,ResNet10,CIFAR10,100,layerwise,SGDm,Lion,1e-3,1e-3,1,1,-15:-2.3026,,na,na,1,100,100,91.97,91.97,99.77,0,[HOST_03eb56b6d1],21,env,,0,20,26,41,91.436,37,91.622,86.25,1,1
r10c-r0-s1,4684265,Account2,ResNet10,CIFAR10,100,layerwise,SGDm,Lion,1e-3,1e-3,1,1,-15:-2.3026,additive,na,0,1,100,100,82.68,81.92,84.58,0,[HOST_3c1b003035],65,env,,0,,,,82.323,0,82.352,76.993,1,1
r10c-r02-s1,4684274,Account2,ResNet10,CIFAR10,100,layerwise,SGDm,Lion,1e-3,1e-3,1,1,-15:-2.3026,additive,na,0.2,1,100,100,91.17,90.51,98.37,0,[HOST_03eb56b6d1],21,env,,0,16,21,30,90.745,72,90.78,85.802,1,1
r10c-r05-s1,4684277,Account2,ResNet10,CIFAR10,100,layerwise,SGDm,Lion,1e-3,1e-3,1,1,-15:-2.3026,additive,na,0.5,1,100,100,91.52,91.03,99.59,0,[HOST_e8d809bd94],21,env,,0,17,26,36,91.097,46,91.126,86.05,1,1
r10-r006-s1,4683326,Account2,ResNet10,CIFAR10,100,layerwise,SGDm,Lion,1e-3,1e-6,1,1,-15:-2.3026,additive,na,0.06,1,100,100,90.88,90.45,95.15,0,[HOST_8d6ba568b8],61,env,,0,38,41,54,90.477,57,90.622,73.271,1,1
r10b-r06-s1,4683629,Account2,ResNet10,CIFAR10,100,layerwise,SGDm,Lion,1e-3,1e-6,1,1,-15:-2.3026,additive,na,0.6,1,100,100,90.92,90.5,99.28,0,[HOST_e8d809bd94],21,env,,0,34,48,66,90.263,44,90.64,74.975,1,1
sc-ResNet10-add-s2,4683085,Account1,ResNet10,CIFAR10,100,layerwise,SGDm,Lion,1e-3,1e-6,1,1,-15:-2.3026,additive,na,0.06,2,100,100,91.54,91.24,96.46,0,[HOST_e8d809bd94],21,env,,0,37,40,46,90.956,41,91.078,73.827,1,1
sc-ResNet10-layer-s2,4683084,Account1,ResNet10,CIFAR10,100,layerwise,SGDm,Lion,1e-3,1e-6,1,1,-15:-2.3026,,na,na,2,100,100,91.35,91.1,99.42,0,[HOST_bcfd0fc19c],21,env,,0,32,40,59,90.816,48,90.98,76.487,1,1
p7-r10-lay-s2,4685330,Account1,ResNet10,CIFAR10,100,layerwise,SGDm,Lion,1e-3,1e-3,1,1,-15:-2.3026,,na,na,2,20,20,86.77,86.77,89.23,0,[HOST_2f2f29d9e1],4,env,,0,16,,,71.194,0,85.784,71.194,0,1
r10b-r03-s2,4683624,Account2,ResNet10,CIFAR10,100,layerwise,SGDm,Lion,1e-3,1e-6,1,1,-15:-2.3026,additive,na,0.3,2,100,100,91.36,91.03,99.36,0,[HOST_bcfd0fc19c],21,env,,0,33,39,56,90.869,46,91.088,74.91,1,1
r10b-r04-s2,4683627,Account2,ResNet10,CIFAR10,100,layerwise,SGDm,Lion,1e-3,1e-6,1,1,-15:-2.3026,additive,na,0.4,2,100,100,91.29,91.29,99.47,0,[HOST_03eb56b6d1],21,env,,0,33,40,59,90.738,48,90.894,75.057,1,1
r10c-r005-s2,4684269,Account2,ResNet10,CIFAR10,100,layerwise,SGDm,Lion,1e-3,1e-3,1,1,-15:-2.3026,additive,na,0.05,2,100,100,89.27,88.95,92.21,0,[HOST_e8d809bd94],21,env,,0,25,50,,88.674,5,88.922,82.936,1,1
sa3-ResNet10-layer-s2,4683461,Account2,ResNet10,CIFAR10,100,layerwise,SGDm,Lion,1e-3,1e-3,1,1,-15:-2.3026,,na,na,2,100,100,91.49,91.27,99.72,0,[HOST_03eb56b6d1],21,env,,0,17,24,35,90.942,55,90.892,86.263,1,1
sa3-ResNet10-add-s2,4683462,Account2,ResNet10,CIFAR10,100,layerwise,SGDm,Lion,1e-3,1e-3,1,1,-15:-2.3026,additive,na,0.06,2,100,100,89.28,89.07,92.65,0,[HOST_bcfd0fc19c],21,env,,0,22,41,,88.803,5,89.02,83.104,1,1
r10-r01-s2,4683333,Account2,ResNet10,CIFAR10,100,layerwise,SGDm,Lion,1e-3,1e-6,1,1,-15:-2.3026,additive,na,0.1,2,100,100,92.03,91.68,98.77,0,[HOST_7b4dd78541],21,env,,0,35,38,46,91.627,18,91.672,74.446,1,1
r10-r02-s2,4683336,Account2,ResNet10,CIFAR10,100,layerwise,SGDm,Lion,1e-3,1e-6,1,1,-15:-2.3026,additive,na,0.2,2,100,100,91.55,91.44,99.37,0,[HOST_3c1b003035],64,env,,0,33,35,49,91.212,38,91.344,74.694,1,1
r10c-r1-s2,4684281,Account2,ResNet10,CIFAR10,100,layerwise,SGDm,Lion,1e-3,1e-3,1,1,-15:-2.3026,additive,na,1,2,100,100,91.31,90.91,99.63,0,[HOST_3c1b003035],64,env,,0,18,24,40,90.893,59,90.876,86.196,1,1
r10-r1-s2,4683339,Account2,ResNet10,CIFAR10,100,layerwise,SGDm,Lion,1e-3,1e-6,1,1,-15:-2.3026,additive,na,1,2,100,100,91.06,90.94,99.48,0,[HOST_7b4dd78541],21,env,,0,30,40,61,90.536,50,90.586,76.391,1,1
r10b-r06-s2,4683630,Account2,ResNet10,CIFAR10,100,layerwise,SGDm,Lion,1e-3,1e-6,1,1,-15:-2.3026,additive,na,0.6,2,100,100,91.32,91.2,99.42,0,[HOST_f0845cc956],21,env,,0,32,40,56,90.842,44,90.9,75.728,1,1
r10c-r05-s2,4684278,Account2,ResNet10,CIFAR10,100,layerwise,SGDm,Lion,1e-3,1e-3,1,1,-15:-2.3026,additive,na,0.5,2,100,100,91.29,90.77,99.55,0,[HOST_e8d809bd94],21,env,,0,16,24,40,90.943,56,91.086,86.177,1,1
r10-r006-s2,4683327,Account2,ResNet10,CIFAR10,100,layerwise,SGDm,Lion,1e-3,1e-6,1,1,-15:-2.3026,additive,na,0.06,2,100,100,91.29,90.87,96.43,0,[HOST_7b4dd78541],21,env,,0,37,40,46,90.982,46,91.012,73.816,1,1
r10-r0-s2,4683318,Account2,ResNet10,CIFAR10,100,layerwise,SGDm,Lion,1e-3,1e-6,1,1,-15:-2.3026,additive,na,0,2,100,100,82.47,82.14,84.18,0,[HOST_7b4dd78541],21,env,,0,,,,82.109,0,82.224,66.465,1,1
r10c-r02-s2,4684275,Account2,ResNet10,CIFAR10,100,layerwise,SGDm,Lion,1e-3,1e-3,1,1,-15:-2.3026,additive,na,0.2,2,100,100,91.48,90.6,98.18,0,[HOST_3c1b003035],64,env,,0,16,19,32,90.883,68,91.06,85.954,1,1
r10-r007-s2,4683330,Account2,ResNet10,CIFAR10,100,layerwise,SGDm,Lion,1e-3,1e-6,1,1,-15:-2.3026,additive,na,0.07,2,100,100,91.9,91.67,97.41,0,[HOST_2739ecbbce],61,env,,0,35,40,45,91.466,15,91.648,74.228,1,1
r10c-r0-s2,4684266,Account2,ResNet10,CIFAR10,100,layerwise,SGDm,Lion,1e-3,1e-3,1,1,-15:-2.3026,additive,na,0,2,100,100,82.49,82.0,84.26,0,[HOST_e8d809bd94],21,env,,0,,,,82.036,0,82.078,76.703,1,1
r10-r003-s2,4683321,Account2,ResNet10,CIFAR10,100,layerwise,SGDm,Lion,1e-3,1e-6,1,1,-15:-2.3026,additive,na,0.03,2,100,100,89.82,89.82,92.74,0,[HOST_3c1b003035],65,env,,0,39,49,,89.386,29,89.574,71.992,1,1
r10b-r008-s2,4683618,Account2,ResNet10,CIFAR10,100,layerwise,SGDm,Lion,1e-3,1e-6,1,1,-15:-2.3026,additive,na,0.08,2,100,100,92.2,91.7,98.13,0,[HOST_bcfd0fc19c],21,env,,0,35,39,43,91.596,14,91.764,74.342,1,1
r10-r005-s2,4683324,Account2,ResNet10,CIFAR10,100,layerwise,SGDm,Lion,1e-3,1e-6,1,1,-15:-2.3026,additive,na,0.05,2,100,100,91.19,90.84,95.29,0,[HOST_2739ecbbce],61,env,,0,37,42,58,90.62,53,90.81,73.388,1,1
r10b-r015-s2,4683621,Account2,ResNet10,CIFAR10,100,layerwise,SGDm,Lion,1e-3,1e-6,1,1,-15:-2.3026,additive,na,0.15,2,100,100,91.76,91.58,99.3,0,[HOST_f0845cc956],21,env,,0,34,37,44,91.47,30,91.65,74.74,1,1
r10c-r01-s2,4684272,Account2,ResNet10,CIFAR10,100,layerwise,SGDm,Lion,1e-3,1e-3,1,1,-15:-2.3026,additive,na,0.1,2,100,100,90.12,89.61,94.65,0,[HOST_e8d809bd94],21,env,,0,19,28,90,89.701,44,89.788,84.328,1,1
uc5-r10-node-s0,4702366,Account1,ResNet10,CIFAR10,100,nodewise,SGDm,Lion,1e-3,1e-3,1,1,-30:0.0,,na,na,0,20,20,86.81,86.81,88.72,0,[HOST_e8d809bd94],6,env,,0,17,,,69.784,0,85.078,69.784,0,1
p6f-r10-node,4683584,Account1,ResNet10,CIFAR10,100,nodewise,SGDm,Lion,1e-3,1e-3,1,1,-15:-2.3026,,na,na,0,20,20,86.44,86.44,88.72,0,[HOST_7b4dd78541],5,env,,0,17,,,69.77,0,85.086,69.77,0,1
ff5-r10-node-s0,4702124,Account1,ResNet10,CIFAR10,100,nodewise,SGDm,Lion,1e-3,1e-3,1,1,-15:-2.3026,,na,na,0,20,20,86.42,86.18,88.87,0,[HOST_bcfd0fc19c],6,env,,0,18,,,70.064,0,85.454,70.064,0,1
fz3-r10-node-s0,4701790,Account1,ResNet10,CIFAR10,100,nodewise,SGDm,fixed,1e-3,1e-3,1,1,-15:-2.3026,,na,na,0,20,20,63.73,63.73,64.21,0,[HOST_3c1b003035],14,env,,0,,,,50.055,0,61.4,50.055,0,1
p4-r10-node,4683367,Account1,ResNet10,CIFAR10,100,nodewise,SGDm,Lion,1e-3,1e-3,1,1,-15:-2.3026,shrink,1.0,na,0,20,20,71.4,69.5,72.57,0,[HOST_03eb56b6d1],6,env,,0,,,,55.967,0,69.12,55.967,0,1
p5-r10-node,4683379,Account2,ResNet10,CIFAR10,100,nodewise,SGDm,Lion,1e-3,1e-6,1,1,-15:-2.3026,shrink,1.0,na,0,20,20,30.96,30.96,30.48,0,[HOST_bcfd0fc19c],6,env,,0,,,,17.464,0,27.594,17.464,0,1
p7-r10-node-s1,4685328,Account1,ResNet10,CIFAR10,100,nodewise,SGDm,Lion,1e-3,1e-3,1,1,-15:-2.3026,,na,na,1,20,20,85.99,85.99,88.37,0,[HOST_bcfd0fc19c],5,env,,0,20,,,69.739,0,84.554,69.739,0,1
fz3-r10-node-s1,4701800,Account1,ResNet10,CIFAR10,100,nodewise,SGDm,fixed,1e-3,1e-3,1,1,-15:-2.3026,,na,na,1,20,20,62.67,62.67,63.48,0,[HOST_e8d809bd94],5,env,,0,,,,50.383,0,60.156,50.383,0,1
ff5-r10-node-s1,4702133,Account1,ResNet10,CIFAR10,100,nodewise,SGDm,Lion,1e-3,1e-3,1,1,-15:-2.3026,,na,na,1,20,20,86.18,86.18,88.47,0,[HOST_6dc36997e3],6,env,,0,20,,,69.532,0,84.81,69.532,0,1
uc5-r10-node-s1,4702375,Account1,ResNet10,CIFAR10,100,nodewise,SGDm,Lion,1e-3,1e-3,1,1,-30:0.0,,na,na,1,20,20,86.33,86.33,88.35,0,[HOST_2f2f29d9e1],6,env,,0,20,,,69.323,0,84.526,69.323,0,1
p7-r10-node-s2,4685331,Account1,ResNet10,CIFAR10,100,nodewise,SGDm,Lion,1e-3,1e-3,1,1,-15:-2.3026,,na,na,2,20,20,86.25,85.87,88.49,0,[HOST_03eb56b6d1],5,env,,0,17,,,70.096,0,85.328,70.096,0,1
sc-ResNet10-scal-s0,4683074,Account1,ResNet10,CIFAR10,100,scalar,SGDm,Lion,1e-3,1e-6,1,1,-15:-2.3026,,na,na,0,100,100,71.86,71.79,72.14,0,[HOST_b0a55dfb8c],30,env,,0,,,,71.697,0,71.73,62.696,1,1
p4-r10-scal,4683365,Account1,ResNet10,CIFAR10,100,scalar,SGDm,Lion,1e-3,1e-3,1,1,-15:-2.3026,,na,na,0,20,20,71.57,71.42,71.93,0,[HOST_e8d809bd94],6,env,,0,,,,62.148,0,71.418,62.148,0,1
p5-r10-scal,4683377,Account2,ResNet10,CIFAR10,100,scalar,SGDm,Lion,1e-3,1e-6,1,1,-15:-2.3026,,na,na,0,20,20,60.98,60.98,60.33,0,[HOST_2739ecbbce],14,env,,0,,,,27.948,0,52.214,27.948,0,1
sa3-ResNet10-scal-s0,4683442,Account2,ResNet10,CIFAR10,100,scalar,SGDm,Lion,1e-3,1e-3,1,1,-15:-2.3026,,na,na,0,100,100,71.93,71.69,72.15,0,[HOST_f0845cc956],30,env,,0,,,,71.668,0,71.664,69.745,1,1
sc-ResNet10-scal-s1,4683078,Account1,ResNet10,CIFAR10,100,scalar,SGDm,Lion,1e-3,1e-6,1,1,-15:-2.3026,,na,na,1,100,100,70.57,70.5,70.88,0,[HOST_f0845cc956],30,env,,0,,,,70.36,0,70.322,61.529,1,1
