cell,run,seed,test_plateau5_pct,raw_plateau5_pct,raw_log,raw_log_sha256
cau1-lr01,cau1-lr01-s51,51,89.676,89.676,cau1-lr01-s51-4945835.out,e729509cb555efe75215fd5301a6450a8e238f4947668b80566e7a770d0391a1
cau1-lr01,cau1-lr01-s52,52,89.576,89.576,cau1-lr01-s52-4945844.out,8ea1fc0e717cfb8f3dae11b44c3ec2c50e4575049103086a2e7467bb4e8777d7
cau1-lr02,cau1-lr02-s50,50,89.642,89.642,cau1-lr02-s50-4945791.out,fa04caf36ed39834bbdba612933f0f68807e18cfcd52631493638de3cc8de5eb
cau1-lr02,cau1-lr02-s51,51,89.38,89.38,cau1-lr02-s51-4945836.out,14ea783848e9cc7bcd53b34223decf116fbd2f26944d51232febfc495d43bf8c
cau1-lr02,cau1-lr02-s52,52,89.824,89.824,cau1-lr02-s52-4945845.out,5f1b07c946e1128d8bbad98df19a6ccbb87fe6582ee62f3a9c64d8cd1c929210
cau1-lr04,cau1-lr04-s50,50,88.752,88.752,cau1-lr04-s50-4945792.out,340a0e971baa247875d93298f6462b08ee39dbd5136da9f7cb9e60379ead1858
cau1-lr04,cau1-lr04-s51,51,88.354,88.354,cau1-lr04-s51-4945837.out,fdaf9f219d7b189630b9a0b1bfe048415e3c0f9eb4f3a4193ce0aa6e79cf59e2
cau1-lr04,cau1-lr04-s52,52,88.894,88.894,cau1-lr04-s52-4945846.out,153c7d3fe6b0319bd267d853e9ff6bef07e9f7abc8c793b5e7d69df29fe3c1a1
cau1-m6,cau1-m6-s50,50,74.104,74.104,cau1-m6-s50-4945793.out,f28b8a1889df1350c0cc3a9700f124920cc36da6d510019a75074f24b07be9d3
cau1-m6,cau1-m6-s51,51,75.322,75.322,cau1-m6-s51-4945838.out,e91f56e7385143a3e07fec9b97a4cbcc193069772d94a0419a7ca23e967a40e5
cau1-m6,cau1-m6-s52,52,74.072,74.072,cau1-m6-s52-4945847.out,f846b79c4246ccb25e867a9b5e821b0d28b4d24d864dbf2ebc56663a67bd7c04
cau1-m6t,cau1-m6t-s50,50,86.022,86.022,cau1-m6t-s50-4945794.out,27d0f622f7d3cfc29dd5dcf20e31b9ed12519c07f37611d7c3686d436b74c0d8
cau1-m6t,cau1-m6t-s51,51,85.558,85.558,cau1-m6t-s51-4945839.out,4368989c43892364cb3259015a9fc7c74c17696e5fdc705e97a955c392634407
cau1-m6t,cau1-m6t-s52,52,86.414,86.414,cau1-m6t-s52-4945848.out,2a6026d4d53e254789dfd26d558aa08025b2e4b1a45f61208019560c5f5b47cc
g4m-r0-m1e2,g4m-r0-m1e2-s0,0,91.176,91.176,g4m-r0-m1e2-s0-4885881.out,c0a64ba84565928d7c9ebc6d615c5613a5661ab2d1b2edcd3e71771dbde4cc35
g4m-r0-m1e2,g4m-r0-m1e2-s1,1,90.754,90.754,g4m-r0-m1e2-s1-4885908.out,fbbcad07cf44d743c9e4d8c4807449fa5444a1fce2873bb5e5563a3806e97c80
g4m-r0-m1e2,g4m-r0-m1e2-s2,2,90.63,90.63,g4m-r0-m1e2-s2-4885932.out,c4f314a944483b4ea41c7a74c6d51d27b35b1ad4ab2c6a671b432bffb7d7f1a0
g4m-r0-m1e3,g4m-r0-m1e3-s0,0,92.446,92.446,g4m-r0-m1e3-s0-4885879.out,78007e83dd3f31bd5f7b1bb85b9cf76d3cbb4eaf550840e98655ce0f883ba25b
g4m-r0-m1e3,g4m-r0-m1e3-s1,1,92.28,92.28,g4m-r0-m1e3-s1-4885906.out,afae33da7b87ce88ba70e25825e99466f6eaa0d46366cadd1f5398f9ee17058b
g4m-r0-m1e3,g4m-r0-m1e3-s2,2,92.434,92.434,g4m-r0-m1e3-s2-4885930.out,bb45a7c72e11162be577782e71430e4cdfb1c7f996b9e5c72dc96dad490140f1
g4m-r0-m1e4,g4m-r0-m1e4-s0,0,36.244,36.244,g4m-r0-m1e4-s0-4885877.out,c6bd80748e3e75660d867628e4af24644db5c28e42aa7f260bdcaef1ba790d60
g4m-r0-m1e4,g4m-r0-m1e4-s1,1,37.706,37.705999999999996,g4m-r0-m1e4-s1-4885904.out,34eca65c351634754504bb9266825bf375ce0e50f18d4e2dcf0c4470d589a4f5
g4m-r0-m1e4,g4m-r0-m1e4-s2,2,37.82,37.82,g4m-r0-m1e4-s2-4885928.out,30399daa1b457dec2301d9390e65423d253f35b4fed7267361c2340e886054ba
g4m-r0-m3e2,g4m-r0-m3e2-s0,0,90.69,90.69,g4m-r0-m3e2-s0-4885882.out,344fde878ca0823a4871b10114391fcb321910179078f36ac8268daadba495a0
g4m-r0-m3e2,g4m-r0-m3e2-s1,1,90.192,90.192,g4m-r0-m3e2-s1-4885909.out,08e496879975ced4af2ea7c57eaa2d11dee134290eb98e56db02af7ecfc926a4
g4m-r0-m3e2,g4m-r0-m3e2-s2,2,90.042,90.042,g4m-r0-m3e2-s2-4885933.out,376b2d7a68f4b675bbf748d5e05bcef5caea84e7c496fe617f1e917944e59242
g4m-r0-m3e3,g4m-r0-m3e3-s0,0,91.728,91.728,g4m-r0-m3e3-s0-4885880.out,a59deb03e027628f4113a3d8bc4e66d7b09d235f7741a7128ffbf98f9ac0c4bd
g4m-r0-m3e3,g4m-r0-m3e3-s1,1,91.544,91.544,g4m-r0-m3e3-s1-4885907.out,4dc7a05330d4ad875315e808b7c0306301d2e55fe39aeab5c3b102f084e6dff2
g4m-r0-m3e3,g4m-r0-m3e3-s2,2,91.636,91.636,g4m-r0-m3e3-s2-4885931.out,33d612ed5e1ff6ed4a6256dfc2f2a6d611ed6452fec177be3a4776f50f4f3aab
g4m-r0-m3e4,g4m-r0-m3e4-s0,0,89.872,89.872,g4m-r0-m3e4-s0-4885878.out,0b701a4f3e760c5fd597944ce9d9f713ed8ed863af0669bf8bfd4b2b0dcb8368
g4m-r0-m3e4,g4m-r0-m3e4-s1,1,89.924,89.92399999999999,g4m-r0-m3e4-s1-4885905.out,24b25296e841dd190ca01c5cb459a0786246e9d1f515ebe9952d2951d869bd1a
g4m-r0-m3e4,g4m-r0-m3e4-s2,2,89.56,89.56,g4m-r0-m3e4-s2-4885929.out,3dd3b792d2b6a3d6f6c1940bb3bfcd1280c5f2af1289f60ff5e0f016d1de3bd6
g4m-r006-m1e2,g4m-r006-m1e2-s0,0,91.006,91.006,g4m-r006-m1e2-s0-4885890.out,ed71d5fe9efdf8c4352bee9c5da6f3b1e11bfefaf7d2b0524bce9ca09c5455b6
g4m-r006-m1e2,g4m-r006-m1e2-s1,1,90.986,90.986,g4m-r006-m1e2-s1-4885914.out,96d10c8d5cc2aee7944558e39646b93faffc166bcb0d9c3643e35f7616c5e5ba
g4m-r006-m1e2,g4m-r006-m1e2-s2,2,91.038,91.038,g4m-r006-m1e2-s2-4885938.out,5bc188c4e1988c16322180d04b033837b3470783d76153081a8b181c390d4144
g4m-r006-m1e3,g4m-r006-m1e3-s0,0,93.114,93.114,g4m-r006-m1e3-s0-4885888.out,491752775abaa7269fbbddca3cd4d9da95fdfed551770817baafa2282b9be39c
g4m-r006-m1e3,g4m-r006-m1e3-s1,1,93.192,93.192,g4m-r006-m1e3-s1-4885912.out,1e7bd27cf8ad6b0ba725ff8811ebcce3f0aef83c6a9f5f5ffd36b212b8d6b89d
g4m-r006-m1e3,g4m-r006-m1e3-s2,2,93.318,93.318,g4m-r006-m1e3-s2-4885936.out,d678ad0bde64d66dbeaa484462cf6dfee4dac7b7c5153a4211dfb48992fa51fb
g4m-r006-m1e4,g4m-r006-m1e4-s0,0,36.712,36.712,g4m-r006-m1e4-s0-4885883.out,f3903eb4ad7719cb3ddcd28a8c76ddb46830270f1105f8b8ef15be10ae52b70b
g4m-r006-m1e4,g4m-r006-m1e4-s1,1,38.218,38.217999999999996,g4m-r006-m1e4-s1-4885910.out,53630f47e3d50e67f31ff819ffc998ddb673d8fb883985a31789f4b823547084
g4m-r006-m1e4,g4m-r006-m1e4-s2,2,38.268,38.268,g4m-r006-m1e4-s2-4885934.out,af9f6a7e007410d68188d388e231aedddcc229a1ccee4ca06c4712657a3086bd
g4m-r006-m3e2,g4m-r006-m3e2-s0,0,91.11,91.11,g4m-r006-m3e2-s0-4885891.out,432d17eee4c26e56b822d86da28a5b355bdb759adc425ea4695cba9b42016a95
g4m-r006-m3e2,g4m-r006-m3e2-s1,1,90.984,90.984,g4m-r006-m3e2-s1-4885915.out,8dd7a6af94cdf799910c360dedfa999f452df606972f40e809c91cfe850f2561
g4m-r006-m3e2,g4m-r006-m3e2-s2,2,90.822,90.822,g4m-r006-m3e2-s2-4885939.out,f77187dff3d3c1314937bf78efb32e87f0bd8dcc689c3059398874242861f610
g4m-r006-m3e3,g4m-r006-m3e3-s0,0,91.73,91.73,g4m-r006-m3e3-s0-4885889.out,334b6e868ac55a148f10e1dbb14742d5da43082fe5ec59f21a810ee635828791
g4m-r006-m3e3,g4m-r006-m3e3-s1,1,91.954,91.954,g4m-r006-m3e3-s1-4885913.out,62484df42b75450926bb62b6f55556857475a3ffa311bae6eb7acc4a01d58186
g4m-r006-m3e3,g4m-r006-m3e3-s2,2,91.638,91.638,g4m-r006-m3e3-s2-4885937.out,23373535daaf729b2f355f5a8e777758892a526b72c91ceef2f0d44a577ab2d8
g4m-r006-m3e4,g4m-r006-m3e4-s0,0,88.614,88.614,g4m-r006-m3e4-s0-4885884.out,5df2467704a5f855c0b8dea6cbb0cdbf1de17f29babeca26a98ebeeb5bce9d1b
g4m-r006-m3e4,g4m-r006-m3e4-s1,1,89.63,89.63,g4m-r006-m3e4-s1-4885911.out,bc9298dc95c45a4a7cb99abcdf02ca5586aff2aec3d43549dd65b4744de9bc3f
g4m-r006-m3e4,g4m-r006-m3e4-s2,2,89.696,89.696,g4m-r006-m3e4-s2-4885935.out,7dbdc49280cac637ce4c1fc09d8d3edb915529ff16e323d3637a6f734bb81f26
g4m-r02-m1e2,g4m-r02-m1e2-s0,0,90.8,90.8,g4m-r02-m1e2-s0-4885896.out,48938b9a09969c0a91873527599beebf8d219aa9ce843ee6c4fe99b7e1382669
g4m-r02-m1e2,g4m-r02-m1e2-s1,1,91.176,91.176,g4m-r02-m1e2-s1-4885920.out,c35572b9154fd8c1e13d80092b253c0e8f7a49a308a477989cac9366c61215f7
g4m-r02-m1e2,g4m-r02-m1e2-s2,2,90.368,90.368,g4m-r02-m1e2-s2-4885944.out,e1982db6da66f9669a9fb0c7227ef8ee6e6934f82bcbf252e0ebfd63a2cabcdf
g4m-r02-m1e3,g4m-r02-m1e3-s0,0,91.454,91.454,g4m-r02-m1e3-s0-4885894.out,4128d30a20913341d5056e3811ba42e1b331421ffd3b7856cdf8fa1f5417d78d
g4m-r02-m1e3,g4m-r02-m1e3-s1,1,91.588,91.588,g4m-r02-m1e3-s1-4885918.out,eb9de12f677b7747bbc5d751c4eb43f58eb8b3900ebba370e07c9ee63fc4f8dd
g4m-r02-m1e3,g4m-r02-m1e3-s2,2,91.466,91.466,g4m-r02-m1e3-s2-4885942.out,57925dc3e01cf87ff0b29674fe1383adfff4ce29b21de22c27ea429b8231ee7e
g4m-r02-m1e4,g4m-r02-m1e4-s0,0,37.566,37.566,g4m-r02-m1e4-s0-4885892.out,8671803600b69d22673342367856c5bf457a2eea9e1b7fb2c48f4b1714707a42
g4m-r02-m1e4,g4m-r02-m1e4-s1,1,39.476,39.476,g4m-r02-m1e4-s1-4885916.out,f2739cf33e9e69550c0cbcc06c43f6712d8483697a66e0f81016a656c6a2aa44
g4m-r02-m1e4,g4m-r02-m1e4-s2,2,39.486,39.486000000000004,g4m-r02-m1e4-s2-4885940.out,3721047ba0563653d8a342b3c0ca8d7a934e660a4340b57d483799899098ed67
g4m-r02-m3e2,g4m-r02-m3e2-s0,0,90.926,90.926,g4m-r02-m3e2-s0-4885897.out,9bef26695295ec7ae55cfcea38acf340ec8abf907538046c8fb85917f72d493a
g4m-r02-m3e2,g4m-r02-m3e2-s1,1,90.854,90.854,g4m-r02-m3e2-s1-4885921.out,f3325c8a05545b48a96aef9983391daeca5eb474be223013249ca37635622d5d
g4m-r02-m3e2,g4m-r02-m3e2-s2,2,90.29,90.28999999999999,g4m-r02-m3e2-s2-4885945.out,1f2fbf3d5a41ba5910bd67fc58181434deee641d3cfae31535cbcd9929bf2591
g4m-r02-m3e3,g4m-r02-m3e3-s0,0,90.928,90.928,g4m-r02-m3e3-s0-4885895.out,a8006c548a94f16eeaeb328c6a5b9f89500d594aa4b0ab2e50b0e1368fa4f896
g4m-r02-m3e3,g4m-r02-m3e3-s1,1,91.43,91.42999999999999,g4m-r02-m3e3-s1-4885919.out,bb7b39aecde149aae5078874fb40130dc0e115e067980d0158e17725c00984b7
g4m-r02-m3e3,g4m-r02-m3e3-s2,2,90.818,90.818,g4m-r02-m3e3-s2-4885943.out,d3d0927b5976dbc8cd4f86cf404146e04ca719d9f1ed48ff583f5e4a027873d3
g4m-r02-m3e4,g4m-r02-m3e4-s0,0,91.342,91.342,g4m-r02-m3e4-s0-4885893.out,ed3aecafe7b718674147230fec21b9633245c673592959e12e6a036b7ba4c9e3
g4m-r02-m3e4,g4m-r02-m3e4-s1,1,92.044,92.044,g4m-r02-m3e4-s1-4885917.out,bc226a7645a48315ece800e0951154b041451c1a8b80af7a7dc42a432984df4c
g4m-r02-m3e4,g4m-r02-m3e4-s2,2,91.414,91.414,g4m-r02-m3e4-s2-4885941.out,e3279c689cb3ebb4a9a5db166e9ba12fcc1adbf1fa74c519b00498280282c2db
g4m-r1-m1e2,g4m-r1-m1e2-s0,0,90.744,90.744,g4m-r1-m1e2-s0-4885902.out,a50a14092b435cf060a0c7cb8faf4d393bf46cda8cceba76f0b497f00f34e104
g4m-r1-m1e2,g4m-r1-m1e2-s1,1,90.174,90.17399999999999,g4m-r1-m1e2-s1-4885926.out,fa2d4c60f383319f88dffdfc6fd5be3ecc0499bf4622467e934b426c7a195ac1
g4m-r1-m1e2,g4m-r1-m1e2-s2,2,90.682,90.682,g4m-r1-m1e2-s2-4885950.out,b6c9514dcb956718b5053112c5c2898e4f1b6aeb62db49e277c91ce454d53b86
g4m-r1-m1e3,g4m-r1-m1e3-s0,0,90.932,90.932,g4m-r1-m1e3-s0-4885900.out,f3655e866315993c4843b13bf01d15b765902d28b8119b33ed3472f0fc2d5bb4
g4m-r1-m1e3,g4m-r1-m1e3-s1,1,91.058,91.058,g4m-r1-m1e3-s1-4885924.out,d8231f92dea1dca33b033a025e74302b2d72834a9ff2d18f3339e222c6b357d8
g4m-r1-m1e3,g4m-r1-m1e3-s2,2,90.796,90.796,g4m-r1-m1e3-s2-4885948.out,a13b517ab6f0f7874ab8d4bb863919175768730d854140874caed6d565d5d5e1
g4m-r1-m1e4,g4m-r1-m1e4-s0,0,44.622,44.622,g4m-r1-m1e4-s0-4885898.out,dc2c51e88a7903e40e03331b85a8d4c2788d5ca78c6a3f4b7941943a4e7767e2
g4m-r1-m1e4,g4m-r1-m1e4-s1,1,47.566,47.566,g4m-r1-m1e4-s1-4885922.out,dc802465f749b4d90a55e86688b52bdae22ace9a99cae4f95a702298cab0a27f
g4m-r1-m1e4,g4m-r1-m1e4-s2,2,46.752,46.752,g4m-r1-m1e4-s2-4885946.out,161f5d9d3c2678cce17e12f57b6c2bb1de8010a106eb8c59f8c688b1f9c7cede
g4m-r1-m3e2,g4m-r1-m3e2-s0,0,89.654,89.654,g4m-r1-m3e2-s0-4885903.out,e5f7c32d8d42471715be2c699fe14a5062eb59a6ab1ae1d98ace659b05c9b71f
g4m-r1-m3e2,g4m-r1-m3e2-s1,1,89.094,89.09400000000001,g4m-r1-m3e2-s1-4885927.out,44b6d089d78ce07d1351609a26fdc032327de196d625be3043606e8662ff0f87
g4m-r1-m3e2,g4m-r1-m3e2-s2,2,88.452,88.452,g4m-r1-m3e2-s2-4885951.out,69a0857de1df9b71f1161a794da8e24f90c033035a95d6773ec0a8f3b2be815c
g4m-r1-m3e3,g4m-r1-m3e3-s0,0,90.818,90.818,g4m-r1-m3e3-s0-4885901.out,e1e06af207cef86be47e99404370df08b1eccd571f42f761446c6aa7b6b93466
g4m-r1-m3e3,g4m-r1-m3e3-s1,1,91.006,91.006,g4m-r1-m3e3-s1-4885925.out,93c42d49824b41fbb530c27907e94833d1cf626f6c511774930d556ddb6f7b9c
g4m-r1-m3e3,g4m-r1-m3e3-s2,2,91.018,91.018,g4m-r1-m3e3-s2-4885949.out,35d6b3f09b03fd37b56e355e03b5aa455a6fc37b0b13de638e99dbcf8f348e03
g4m-r1-m3e4,g4m-r1-m3e4-s0,0,90.134,90.134,g4m-r1-m3e4-s0-4885899.out,b55142d2078534a97fd0440150349caecfb9e91c1ce3201b229bf4f855558b87
g4m-r1-m3e4,g4m-r1-m3e4-s1,1,90.486,90.486,g4m-r1-m3e4-s1-4885923.out,caf8855077c8813c9a7548dc7cd11fe00e4147777da938f661a4e1c93ae9eeb3
g4m-r1-m3e4,g4m-r1-m3e4-s2,2,90.448,90.44800000000001,g4m-r1-m3e4-s2-4885947.out,66ea827ba35978cce964a14a81ca10ed9181d57e045b9fab838283e6a30199f3
tl1-a3-plain,tl1-a3-plain-s0,0,91.154,91.154,tl1-a3-plain-s0-4886444.out,53c6119f8307b25b9734c1e948814cb691caf41484cd3a923547ab6b9d7c8ee3
tl1-a3-plain,tl1-a3-plain-s1,1,91.19,91.19,tl1-a3-plain-s1-4886451.out,8dcd542208d1934c213886cbf0bb55eabaa0c0782f38e449f439593747b535c7
tl1-a3-plain,tl1-a3-plain-s2,2,91.198,91.19800000000001,tl1-a3-plain-s2-4886458.out,0977dc4129b490105cb0ad0562a451bd08c980fdd659d69db86c7f29615aa170
tl1-a3-r0,tl1-a3-r0-s0,0,88.018,88.018,tl1-a3-r0-s0-4886439.out,00a8cd9f80148ab3df784064f2e460e911d822190af5ffb2161e1117b80c7714
tl1-a3-r0,tl1-a3-r0-s1,1,87.974,87.974,tl1-a3-r0-s1-4886446.out,9e0b56ea1dae75b87a8570971271943f516756cbda0d0d90d70eebd279539237
tl1-a3-r0,tl1-a3-r0-s2,2,87.892,87.892,tl1-a3-r0-s2-4886453.out,076c2bc55eec369f356348b7a8fe5935133bc03ce2dee7cb8d711ba49dcbfd2a
tl1-a3-r003,tl1-a3-r003-s0,0,89.926,89.926,tl1-a3-r003-s0-4886440.out,73e69ff57b575e6484d92175e811fb0ca7299846382c56a968d13101cfb3c613
tl1-a3-r003,tl1-a3-r003-s1,1,89.686,89.686,tl1-a3-r003-s1-4886447.out,bc04f09e27c72c81b30d90bfac7bcfcc06975686a8f74d816cee29560f15a05b
tl1-a3-r003,tl1-a3-r003-s2,2,89.706,89.706,tl1-a3-r003-s2-4886454.out,fc3c6c4fe4216380e5beb585b19ecaf1df2f41dc0d2c595300722dd14ff54b2a
tl1-a3-r01,tl1-a3-r01-s0,0,90.48,90.48,tl1-a3-r01-s0-4886441.out,8119c688bc7169fef561425e37de12eb9c7826a024f176f8c1fcfe7dc722851c
tl1-a3-r01,tl1-a3-r01-s1,1,90.482,90.482,tl1-a3-r01-s1-4886448.out,d3b58e9016254fa1636e8645da75a7bcf0267b5ed8a4d1198554ceb7304b9ccd
tl1-a3-r01,tl1-a3-r01-s2,2,90.122,90.122,tl1-a3-r01-s2-4886455.out,3dd857109683cb98ad32adc82dbfd158c90dae72ea8d0d3616672a3f02750efc
tl1-a3-r03,tl1-a3-r03-s0,0,89.792,89.792,tl1-a3-r03-s0-4886442.out,44deb6ff48760be4ccfb421e7a83a3abfc7f6c3eac31ce7c03ea5b3af463d899
tl1-a3-r03,tl1-a3-r03-s1,1,89.402,89.402,tl1-a3-r03-s1-4886449.out,7bb54838c548ad609fbd6477ec4dffde1665879982ebf781c48d202fa286455f
tl1-a3-r03,tl1-a3-r03-s2,2,89.632,89.632,tl1-a3-r03-s2-4886456.out,c3032af4008126753405c5fb0f4ccba6ac548d7f5ccd44126297bec184061178
tl1-a3-r1,tl1-a3-r1-s0,0,90.714,90.714,tl1-a3-r1-s0-4886443.out,09e1e60d36a585ba989ee5b091b725148dca1cbe41bf7a49d8d77ea0b7173510
tl1-a3-r1,tl1-a3-r1-s1,1,90.608,90.608,tl1-a3-r1-s1-4886450.out,886ef2863ac0bad5c0e69e03f8e01746cca3ded0808eab688d8c4aca56ac46ae
tl1-a3-r1,tl1-a3-r1-s2,2,90.528,90.528,tl1-a3-r1-s2-4886457.out,8bef53758d5f71681a0cd4057c86d98199e320eff89972431ac33b39d7417278
tl1-a3-scal,tl1-a3-scal-s0,0,87.766,87.766,tl1-a3-scal-s0-4886445.out,fcab90fc224bc519c985473288fcad13b2aca7f9a07a1ade1d1b66ad7b395850
tl1-a3-scal,tl1-a3-scal-s1,1,87.924,87.92399999999999,tl1-a3-scal-s1-4886452.out,a280f9eb762ac84aa4c79cc215504f94c5f9d0384aa5c0e6cf93a07f9512110b
tl1-a3-scal,tl1-a3-scal-s2,2,87.766,87.766,tl1-a3-scal-s2-4886459.out,ade40cece905d83e4608025a446206bce06e42bba5d971833c4f5dbc57c8f6fe
