cell,network,dataset,batch_size,granularity,base,meta,meta_stepsize,alpha0,gamma,augment,beta_clip,hier,lam,eta_ratio,epochs_requested,n,mean_pct,sd_pct,sem_pct
cau1-lr04,ResNet18,CIFAR10,100,?,SGD,?,,0.4,,0,none,,na,na,100,3,88.66666666666667,0.2799309438653298,0.16161820579515418
cau1-m6,ResNet18,CIFAR10,100,resnet18_blocks,AdamW,Adam,1e-3,1e-6,1,0,-60:6.0,,na,na,100,3,74.49933333333334,0.7126298712047754,0.4114370479726454
cau1-m6t,ResNet18,CIFAR10,100,resnet18_blocks,AdamW,Adam,1e-3,3e-4,1,0,-15:-2.3026,,na,na,100,3,85.998,0.4285043757069439,0.2473971166633366
g4m-r0-m1e2,ResNet18,CIFAR10,100,layerwise,SGDm,Lion,1e-2,1e-6,1,1,-15:-2.3026,additive,na,0,100,3,90.85333333333334,0.2862330053179306,0.16525670267126283
g4m-r0-m1e3,ResNet18,CIFAR10,100,layerwise,SGDm,Lion,1e-3,1e-6,1,1,-15:-2.3026,additive,na,0,100,3,92.38666666666667,0.09257069370666383,0.053445714930612766
g4m-r0-m1e4,ResNet18,CIFAR10,100,layerwise,SGDm,Lion,1e-4,1e-6,1,1,-15:-2.3026,additive,na,0,100,3,37.25666666666667,0.878845454749204,0.507401659875532
g4m-r0-m3e2,ResNet18,CIFAR10,100,layerwise,SGDm,Lion,3e-2,1e-6,1,1,-15:-2.3026,additive,na,0,100,3,90.30799999999999,0.33921674486970643,0.19584687896415362
g4m-r0-m3e3,ResNet18,CIFAR10,100,layerwise,SGDm,Lion,3e-3,1e-6,1,1,-15:-2.3026,additive,na,0,100,3,91.636,0.09199999999999875,0.05311622476544485
g4m-r0-m3e4,ResNet18,CIFAR10,100,layerwise,SGDm,Lion,3e-4,1e-6,1,1,-15:-2.3026,additive,na,0,100,3,89.78533333333334,0.19686882265441047,0.11366226775456859
g4m-r006-m1e2,ResNet18,CIFAR10,100,layerwise,SGDm,Lion,1e-2,1e-6,1,1,-15:-2.3026,additive,na,0.06,100,3,91.01,0.0262297540972043,0.015143755588798593
g4m-r006-m1e3,ResNet18,CIFAR10,100,layerwise,SGDm,Lion,1e-3,1e-6,1,1,-15:-2.3026,additive,na,0.06,100,3,93.208,0.10293687385965958,0.05943063183241301
g4m-r006-m1e4,ResNet18,CIFAR10,100,layerwise,SGDm,Lion,1e-4,1e-6,1,1,-15:-2.3026,additive,na,0.06,100,3,37.73266666666667,0.8842767289335008,0.5105374074878785
g4m-r006-m3e2,ResNet18,CIFAR10,100,layerwise,SGDm,Lion,3e-2,1e-6,1,1,-15:-2.3026,additive,na,0.06,100,3,90.972,0.14437451298618967,0.08335466393669773
g4m-r006-m3e3,ResNet18,CIFAR10,100,layerwise,SGDm,Lion,3e-3,1e-6,1,1,-15:-2.3026,additive,na,0.06,100,3,91.774,0.16252999723127404,0.0938367376528652
g4m-r006-m3e4,ResNet18,CIFAR10,100,layerwise,SGDm,Lion,3e-4,1e-6,1,1,-15:-2.3026,additive,na,0.06,100,3,89.31333333333333,0.6065388143666719,0.3501853477485545
g4m-r02-m1e2,ResNet18,CIFAR10,100,layerwise,SGDm,Lion,1e-2,1e-6,1,1,-15:-2.3026,additive,na,0.2,100,3,90.78133333333334,0.40432330298083996,0.2334361678156266
g4m-r02-m1e3,ResNet18,CIFAR10,100,layerwise,SGDm,Lion,1e-3,1e-6,1,1,-15:-2.3026,additive,na,0.2,100,3,91.50266666666666,0.07414400402819736,0.04280706068447645
g4m-r02-m1e4,ResNet18,CIFAR10,100,layerwise,SGDm,Lion,1e-4,1e-6,1,1,-15:-2.3026,additive,na,0.2,100,3,38.842666666666666,1.1056370712549972,0.6383398607151021
g4m-r02-m3e2,ResNet18,CIFAR10,100,layerwise,SGDm,Lion,3e-2,1e-6,1,1,-15:-2.3026,additive,na,0.2,100,3,90.69,0.3482757528166407,0.2010770996409071
g4m-r02-m3e3,ResNet18,CIFAR10,100,layerwise,SGDm,Lion,3e-3,1e-6,1,1,-15:-2.3026,additive,na,0.2,100,3,91.05866666666667,0.32625348018578554,0.18836253460931554
g4m-r02-m3e4,ResNet18,CIFAR10,100,layerwise,SGDm,Lion,3e-4,1e-6,1,1,-15:-2.3026,additive,na,0.2,100,3,91.6,0.3861968410020966,0.2229708501127436
g4m-r1-m1e2,ResNet18,CIFAR10,100,layerwise,SGDm,Lion,1e-2,1e-6,1,1,-15:-2.3026,additive,na,1,100,3,90.53333333333333,0.31273204717990005,0.18055593162353806
g4m-r1-m1e3,ResNet18,CIFAR10,100,layerwise,SGDm,Lion,1e-3,1e-6,1,1,-15:-2.3026,additive,na,1,100,3,90.92866666666667,0.1310318027554127,0.07565124659323948
g4m-r1-m1e4,ResNet18,CIFAR10,100,layerwise,SGDm,Lion,1e-4,1e-6,1,1,-15:-2.3026,additive,na,1,100,3,46.31333333333333,1.5202319998386227,0.877706354337512
g4m-r1-m3e2,ResNet18,CIFAR10,100,layerwise,SGDm,Lion,3e-2,1e-6,1,1,-15:-2.3026,additive,na,1,100,3,89.06666666666666,0.6014659868465815,0.34725654941427775
g4m-r1-m3e3,ResNet18,CIFAR10,100,layerwise,SGDm,Lion,3e-3,1e-6,1,1,-15:-2.3026,additive,na,1,100,3,90.94733333333333,0.11216654284292475,0.0647593837044323
g4m-r1-m3e4,ResNet18,CIFAR10,100,layerwise,SGDm,Lion,3e-4,1e-6,1,1,-15:-2.3026,additive,na,1,100,3,90.356,0.19319420281157468,0.11154072499913781
tl1-a3-plain,ResNet18,CIFAR10,100,layerwise,SGDm,Lion,1e-3,1e-3,1,1,-15:-2.3026,,na,na,100,3,91.18066666666667,0.0234378611083284,0.013531855420122462
tl1-a3-r0,ResNet18,CIFAR10,100,layerwise,SGDm,Lion,1e-3,1e-3,1,1,-15:-2.3026,twolevel,na,0,100,3,87.96133333333333,0.0639478954566427,0.03692033465600271
tl1-a3-r003,ResNet18,CIFAR10,100,layerwise,SGDm,Lion,1e-3,1e-3,1,1,-15:-2.3026,twolevel,na,0.03,100,3,89.77266666666667,0.1331665623695859,0.07688375063113752
tl1-a3-r01,ResNet18,CIFAR10,100,layerwise,SGDm,Lion,1e-3,1e-3,1,1,-15:-2.3026,twolevel,na,0.1,100,3,90.36133333333333,0.20727115895206874,0.1196680594162226
tl1-a3-r03,ResNet18,CIFAR10,100,layerwise,SGDm,Lion,1e-3,1e-3,1,1,-15:-2.3026,twolevel,na,0.3,100,3,89.60866666666666,0.19604421270043534,0.1131861789756646
tl1-a3-r1,ResNet18,CIFAR10,100,layerwise,SGDm,Lion,1e-3,1e-3,1,1,-15:-2.3026,twolevel,na,1,100,3,90.61666666666667,0.09330237581826441,0.05386815179470659
tl1-a3-scal,ResNet18,CIFAR10,100,scalar,SGDm,Lion,1e-3,1e-3,1,1,-15:-2.3026,,na,na,100,3,87.81866666666667,0.0912213425319616,0.05266666666666709
tl1-a6-plain,ResNet18,CIFAR10,100,layerwise,SGDm,Lion,1e-3,1e-6,1,1,-15:-2.3026,,na,na,100,3,91.004,0.19867561501100547,0.11470541980801847
tl1-a6-r0,ResNet18,CIFAR10,100,layerwise,SGDm,Lion,1e-3,1e-6,1,1,-15:-2.3026,twolevel,na,0,100,3,87.92533333333334,0.110640559169473,0.06387835661978596
tl1-a6-r003,ResNet18,CIFAR10,100,layerwise,SGDm,Lion,1e-3,1e-6,1,1,-15:-2.3026,twolevel,na,0.03,100,3,90.18533333333333,0.1789785834487853,0.10333333333333411
tl1-a6-r01,ResNet18,CIFAR10,100,layerwise,SGDm,Lion,1e-3,1e-6,1,1,-15:-2.3026,twolevel,na,0.1,100,3,90.75133333333333,0.02968725877095349,0.017139946842912077
tl1-a6-r03,ResNet18,CIFAR10,100,layerwise,SGDm,Lion,1e-3,1e-6,1,1,-15:-2.3026,twolevel,na,0.3,100,3,90.61533333333334,0.04041451884327807,0.023333333333335798
tl1-a6-r1,ResNet18,CIFAR10,100,layerwise,SGDm,Lion,1e-3,1e-6,1,1,-15:-2.3026,twolevel,na,1,100,3,90.67333333333333,0.061849279165834145,0.03570869797557866
tl1-a6-scal,ResNet18,CIFAR10,100,scalar,SGDm,Lion,1e-3,1e-6,1,1,-15:-2.3026,,na,na,100,3,88.046,0.2668107943843332,0.15404328396049266
eb1-a06,ResNet18,CIFAR10,100,layerwise,SGDm,Lion,1e-3,1e-6,1,1,-15:-2.3026,additive,na,0.06,100,3,93.328,0.16175289796475967,0.09338807918215607
eb1-a1,ResNet18,CIFAR10,100,layerwise,SGDm,Lion,1e-3,1e-6,1,1,-15:-2.3026,additive,na,1,100,3,91.02333333333334,0.03601851375797606,0.02079529861397772
eb1-ebjr,ResNet18,CIFAR10,100,layerwise,SGDm,Lion,1e-3,1e-6,1,1,-15:-2.3026,ebjs,na,na,100,3,91.078,0.2279210389586719,0.13159027319676841
eb1-ebjs,ResNet18,CIFAR10,100,layerwise,SGDm,Lion,1e-3,1e-6,1,1,-15:-2.3026,ebjs,na,na,100,3,91.06466666666667,0.18864075204826156,0.10891178897519727
eb1-ebjz,ResNet18,CIFAR10,100,layerwise,SGDm,Lion,1e-3,1e-6,1,1,-15:-2.3026,ebjz,na,na,100,3,90.85466666666667,0.21564167809895413,0.1245007808989338
eb1-lay,ResNet18,CIFAR10,100,layerwise,SGDm,Lion,1e-3,1e-6,1,1,-15:-2.3026,,na,na,100,3,90.89466666666667,0.14702834193901,0.08488685279699176
constant-1e-6,ResNet18,CIFAR10,100,?,AdamW,?,,1e-6,1,1,none,,na,na,100,3,69.49733333333333,0.5219284753041714,0.3013355457145943
constant-1e-5,ResNet18,CIFAR10,100,?,AdamW,?,,1e-5,1,1,none,,na,na,100,3,84.64733333333334,0.32387857807105824,0.1869913842340787
constant-1e-4,ResNet18,CIFAR10,100,?,AdamW,?,,1e-4,1,1,none,,na,na,100,3,91.39133333333334,0.08305018563093401,0.047949047030268144
constant-3e-4,ResNet18,CIFAR10,100,?,AdamW,?,,3e-4,1,1,none,,na,na,100,3,91.76666666666667,0.16672532301162735,0.09625891012149036
constant-1e-3,ResNet18,CIFAR10,100,?,AdamW,?,,1e-3,1,1,none,,na,na,100,3,89.41933333333334,0.6696456774543769,0.3866201121399538
constant-1e-2,ResNet18,CIFAR10,100,?,AdamW,?,,1e-2,1,1,none,,na,na,100,3,70.53466666666667,3.404699301455754,1.9657040582052105
constant-1e-1,ResNet18,CIFAR10,100,?,AdamW,?,,1e-1,1,1,none,,na,na,100,3,12.937333333333333,3.1278339683131087,1.8058557835860287
meta-1e-6,ResNet18,CIFAR10,100,resnet18_blocks,AdamW,Adam,1e-3,1e-6,1,1,-15:-2.3026,,na,na,100,3,91.59066666666666,0.15990413794937752,0.09232069708960818
meta-1e-5,ResNet18,CIFAR10,100,resnet18_blocks,AdamW,Adam,1e-3,1e-5,1,1,-15:-2.3026,,na,na,100,3,91.55466666666666,0.2164285871444266,0.12495510304816508
meta-1e-4,ResNet18,CIFAR10,100,resnet18_blocks,AdamW,Adam,1e-3,1e-4,1,1,-15:-2.3026,,na,na,100,3,91.82933333333332,0.3313145534583904,0.19128454662564237
meta-3e-4,ResNet18,CIFAR10,100,resnet18_blocks,AdamW,Adam,1e-3,3e-4,1,1,-15:-2.3026,,na,na,100,3,93.31733333333334,0.14294521094927734,0.08252945602093312
meta-1e-3,ResNet18,CIFAR10,100,resnet18_blocks,AdamW,Adam,1e-3,1e-3,1,1,-15:-2.3026,,na,na,100,3,92.20933333333333,0.017009801096228717,0.009820613241769641
meta-1e-2,ResNet18,CIFAR10,100,resnet18_blocks,AdamW,Adam,1e-3,1e-2,1,1,-15:-2.3026,,na,na,100,3,90.088,0.1252996408614167,0.07234178138070237
meta-1e-1,ResNet18,CIFAR10,100,resnet18_blocks,AdamW,Adam,1e-3,1e-1,1,1,-15:-2.3026,,na,na,100,3,59.154,42.69348844964534,24.64909704904692
cosine-1e-6,ResNet18,CIFAR10,100,?,AdamW,?,,1e-6,1,1,none,,na,na,100,3,63.42133333333334,0.5844530206383836,0.33743410879426067
cosine-1e-5,ResNet18,CIFAR10,100,?,AdamW,?,,1e-5,1,1,none,,na,na,100,2,83.91399999999999,0.13293607486307263,0.0940000000000012
cosine-1e-4,ResNet18,CIFAR10,100,?,AdamW,?,,1e-4,1,1,none,,na,na,100,4,93.0235,0.15074371186442845,0.07537185593221422
cosine-3e-4,ResNet18,CIFAR10,100,?,AdamW,?,,3e-4,1,1,none,,na,na,100,3,94.01266666666666,0.1405750096330545,0.08116101965297826
cosine-1e-3,ResNet18,CIFAR10,100,?,AdamW,?,,1e-3,1,1,none,,na,na,100,3,94.31866666666667,0.1595159344182674,0.09209656767642137
cosine-1e-2,ResNet18,CIFAR10,100,?,AdamW,?,,1e-2,1,1,none,,na,na,100,2,93.82,0.09050966799187816,0.06400000000000006
cosine-1e-1,ResNet18,CIFAR10,100,?,AdamW,?,,1e-1,1,1,none,,na,na,100,3,65.122,0.5926347947935536,0.34215785830519685
bl-sgd-01,ResNet18,CIFAR10,100,?,SGD,?,,0.1,1,1,none,,na,na,100,5,95.1244,0.10525587869568105,0.04707185995900295
cru1-lay-m1e-3-a1e-3,ResNet18_c100,CIFAR100,100,layerwise,SGDm,Lion,1e-3,1e-3,1,1,-15:-2.3026,,na,na,100,3,69.83933333333333,0.3201395529036248,0.1848326570471542
cru1-lay-m1e-3-a1e-6,ResNet18_c100,CIFAR100,100,layerwise,SGDm,Lion,1e-3,1e-6,1,1,-15:-2.3026,,na,na,100,3,69.55066666666667,0.5141997018020673,0.2968733362526489
cru1-lay-m1e-4-a1e-3,ResNet18_c100,CIFAR100,100,layerwise,SGDm,Lion,1e-4,1e-3,1,1,-15:-2.3026,,na,na,100,3,71.08266666666667,0.43829366106907985,0.2530489632023399
cru1-lay-m1e-4-a1e-6,ResNet18_c100,CIFAR100,100,layerwise,SGDm,Lion,1e-4,1e-6,1,1,-15:-2.3026,,na,na,100,3,10.957333333333334,0.23827994740081068,0.13757099177434792
cru1-lay-m1e-5-a1e-3,ResNet18_c100,CIFAR100,100,layerwise,SGDm,Lion,1e-5,1e-3,1,1,-15:-2.3026,,na,na,100,3,32.32066666666667,0.6323806870337937,0.36510515988928127
cru1-lay-m3e-3-a1e-3,ResNet18_c100,CIFAR100,100,layerwise,SGDm,Lion,3e-3,1e-3,1,1,-15:-2.3026,,na,na,100,3,69.856,0.3001266399372097,0.17327819635872593
cru1-lay-m3e-3-a1e-6,ResNet18_c100,CIFAR100,100,layerwise,SGDm,Lion,3e-3,1e-6,1,1,-15:-2.3026,,na,na,100,3,69.61,0.22097058627790447,0.12757742747053757
cru1-lay-m3e-4-a1e-3,ResNet18_c100,CIFAR100,100,layerwise,SGDm,Lion,3e-4,1e-3,1,1,-15:-2.3026,,na,na,100,3,70.19266666666667,0.4735581625664724,0.2734089326346974
cru1-lay-m3e-4-a1e-6,ResNet18_c100,CIFAR100,100,layerwise,SGDm,Lion,3e-4,1e-6,1,1,-15:-2.3026,,na,na,100,3,68.29266666666666,0.4157226639640117,0.2400175919478505
cru1-lay-m3e-5-a1e-3,ResNet18_c100,CIFAR100,100,layerwise,SGDm,Lion,3e-5,1e-3,1,1,-15:-2.3026,,na,na,100,3,53.594,0.41605768830776374,0.24021101834290082
cru1-sc-m1e-3-a1e-3,ResNet18_c100,CIFAR100,100,scalar,SGDm,Lion,1e-3,1e-3,1,1,-15:-2.3026,,na,na,100,3,22.378666666666668,0.6531901203580281,0.37711949182071164
cru1-sc-m1e-3-a1e-6,ResNet18_c100,CIFAR100,100,scalar,SGDm,Lion,1e-3,1e-6,1,1,-15:-2.3026,,na,na,100,3,23.002,0.6490392900279608,0.37472300881228676
cru1-sc-m1e-4-a1e-3,ResNet18_c100,CIFAR100,100,scalar,SGDm,Lion,1e-4,1e-3,1,1,-15:-2.3026,,na,na,100,3,35.792,0.15979987484350455,0.09226050075736586
cru1-sc-m1e-4-a1e-6,ResNet18_c100,CIFAR100,100,scalar,SGDm,Lion,1e-4,1e-6,1,1,-15:-2.3026,,na,na,100,3,10.546666666666667,0.24067682342372124,0.13895482879138948
cru1-sc-m1e-5-a1e-3,ResNet18_c100,CIFAR100,100,scalar,SGDm,Lion,1e-5,1e-3,1,1,-15:-2.3026,,na,na,100,3,24.714666666666666,0.5699204622869173,0.3290437323180277
cru1-sc-m3e-3-a1e-3,ResNet18_c100,CIFAR100,100,scalar,SGDm,Lion,3e-3,1e-3,1,1,-15:-2.3026,,na,na,100,3,16.354666666666667,0.22770448685375674,0.13146524678070207
cru1-sc-m3e-3-a1e-6,ResNet18_c100,CIFAR100,100,scalar,SGDm,Lion,3e-3,1e-6,1,1,-15:-2.3026,,na,na,100,3,16.808666666666667,0.308884012751281,0.17833426791032392
cru1-sc-m3e-4-a1e-3,ResNet18_c100,CIFAR100,100,scalar,SGDm,Lion,3e-4,1e-3,1,1,-15:-2.3026,,na,na,100,3,29.782,0.25583588489498543,0.14770691701248595
cru1-sc-m3e-4-a1e-6,ResNet18_c100,CIFAR100,100,scalar,SGDm,Lion,3e-4,1e-6,1,1,-15:-2.3026,,na,na,100,3,28.634,0.460469325797062,0.26585208920249925
cru1-sc-m3e-5-a1e-3,ResNet18_c100,CIFAR100,100,scalar,SGDm,Lion,3e-5,1e-3,1,1,-15:-2.3026,,na,na,100,3,28.950666666666667,0.4164100543134539,0.2404144569511393
tn1-c10lay,ResNet18,CIFAR10,100,layerwise,SGDm,Lion,1e-3,1e-6,1,1,-15:-2.3026,,na,na,100,3,91.006,0.08126499861563877,0.04691836882643361
tn1-lay,ResNet18_tin,TinyImageNet,100,layerwise,SGDm,Lion,1e-3,1e-6,1,1,-15:-2.3026,,na,na,100,3,50.834666666666664,0.21921982878684312,0.12656662716178754
tn1-node,ResNet18_tin,TinyImageNet,100,nodewise,SGDm,Lion,1e-3,1e-6,1,1,-15:-2.3026,,na,na,100,3,53.136,0.243499486652435,0.14058449416631905
tn1-scal,ResNet18_tin,TinyImageNet,100,scalar,SGDm,Lion,1e-3,1e-6,1,1,-15:-2.3026,,na,na,100,3,9.859333333333334,0.08372176140844963,0.048336781486198015
cvg1-k01,VGG11_bn_c100,CIFAR100,100,scalar,SGDm,Lion,1e-3,1e-6,1,1,-15:-2.3026,,na,na,100,3,35.01733333333333,0.5612212873130629,0.3240212613051452
cvg1-kL,VGG11_bn_c100,CIFAR100,100,layerwise,SGDm,Lion,1e-3,1e-6,1,1,-15:-2.3026,,na,na,100,3,66.286,0.07800000000000296,0.04503332099679252
