measurement_id,run_id,metric,split,units,value,start_epoch_index,end_epoch_index_exclusive,window_records,window_basis,actual_epochs_parsed,terminal_window,job_id,seed,raw_sha256,raw_paths,source_fields,source_pointers,contexts,panels
MEAS-34fe2f34b1df5026,RUN-4887072,legacy_plateau20,test,accuracy_percent,9.801,80,100,20,parsed raw epoch count; legacy terminal CSV window,100,True,4887072,2,55f3bdd27f1e1df7f42f3d7b95e6e4974ff225bc6baa661b10c7c50bdafe5b55,"[""archive/Account2/runs/tn1-scal-s2-4887072.out""]","[""plateau20""]","[""/panels/granularity_dataset_network_extensions/tinyimagenet/3/runs/2/plateau20""]","[""OCC-3a1acf2f15837f64""]","[""granularity_dataset_network_extensions""]"
MEAS-ba83f62e2f654619,RUN-4929673,legacy_plateau20,test,accuracy_percent,35.721,80,100,20,parsed raw epoch count; legacy terminal CSV window,100,True,4929673,31,a63c4cd9b6562752c959cb44f2f08927bd3c3208b50c794381d104984ab6b1ae,"[""archive/Account2/runs/cvg1-k01-s31-4929673.out""]","[""plateau20""]","[""/panels/granularity_dataset_network_extensions/vgg_gap/0/runs/0/plateau20""]","[""OCC-987792a4fb758e42""]","[""granularity_dataset_network_extensions""]"
MEAS-74bb2f6612bb51f2,RUN-4929675,legacy_plateau20,test,accuracy_percent,34.913,80,100,20,parsed raw epoch count; legacy terminal CSV window,100,True,4929675,32,ad680f6c6ee4169b03781e689e3e9f48364ac6be0f47bd8b8b0503e2c52edcdf,"[""archive/Account2/runs/cvg1-k01-s32-4929675.out""]","[""plateau20""]","[""/panels/granularity_dataset_network_extensions/vgg_gap/0/runs/1/plateau20""]","[""OCC-987792a4fb758e42""]","[""granularity_dataset_network_extensions""]"
MEAS-1830be234c035876,RUN-4929677,legacy_plateau20,test,accuracy_percent,34.502,80,100,20,parsed raw epoch count; legacy terminal CSV window,100,True,4929677,33,d7fd0849428abcaed42133d32ef62a3b94b1dc255ed9ab99996869ea1f7084ba,"[""archive/Account2/runs/cvg1-k01-s33-4929677.out""]","[""plateau20""]","[""/panels/granularity_dataset_network_extensions/vgg_gap/0/runs/2/plateau20""]","[""OCC-987792a4fb758e42""]","[""granularity_dataset_network_extensions""]"
MEAS-467487fbe19a76ff,RUN-4929674,legacy_plateau20,test,accuracy_percent,66.275,80,100,20,parsed raw epoch count; legacy terminal CSV window,100,True,4929674,31,71258453325238f6da0bcbbd7d673839afec38a90bbddc6da1afdd868b545a44,"[""archive/Account2/runs/cvg1-kL-s31-4929674.out""]","[""plateau20""]","[""/panels/granularity_dataset_network_extensions/vgg_gap/1/runs/0/plateau20""]","[""OCC-866190c88dd29a6c""]","[""granularity_dataset_network_extensions""]"
MEAS-14bdcd48380e74bf,RUN-4929676,legacy_plateau20,test,accuracy_percent,66.266,80,100,20,parsed raw epoch count; legacy terminal CSV window,100,True,4929676,32,4191bd74699b0fffa054e6bd5744ad497751f7c69d165b8c15623dfd44b65ab0,"[""archive/Account2/runs/cvg1-kL-s32-4929676.out""]","[""plateau20""]","[""/panels/granularity_dataset_network_extensions/vgg_gap/1/runs/1/plateau20""]","[""OCC-866190c88dd29a6c""]","[""granularity_dataset_network_extensions""]"
MEAS-ab80ac5e45f9cc73,RUN-4929678,legacy_plateau20,test,accuracy_percent,66.013,80,100,20,parsed raw epoch count; legacy terminal CSV window,100,True,4929678,33,b162279c1bb885ee76ebc91cb3fa04999b23498792dc4f9b51759a46f5a41525,"[""archive/Account2/runs/cvg1-kL-s33-4929678.out""]","[""plateau20""]","[""/panels/granularity_dataset_network_extensions/vgg_gap/1/runs/2/plateau20""]","[""OCC-866190c88dd29a6c""]","[""granularity_dataset_network_extensions""]"
MEAS-60e053ac15e07a71,RUN-4680939,legacy_plateau20,test,accuracy_percent,91.225,80,100,20,parsed raw epoch count; legacy terminal CSV window,100,True,4680939,0,4cf5de05618fff7ab86f346fe53f8c8e5e3465421cff8f5900c7efa1a183fbd6,"[""archive/Account1/runs/a0L-lplain-1e3-s0-4680939.out""]","[""csv_plateau20""]","[""/panels/full_granularity_ladder/cells/0/runs/0/csv_plateau20"",""/panels/initialization_startup/matched_100/0/runs/0/csv_plateau20""]","[""OCC-1dd6002a2b514d23"",""OCC-ddfb7a5f57ea6568""]","[""full_granularity_ladder"",""initialization_startup""]"
MEAS-b55e2fba2f19430d,RUN-4680810,legacy_plateau20,test,accuracy_percent,91.292,80,100,20,parsed raw epoch count; legacy terminal CSV window,100,True,4680810,0,0e205494d455597e4befd3d21538595987d451676a45dbd563046136029a1db3,"[""archive/Account1/runs/a0h-lplain-1e3-s0-4680810.out""]","[""csv_plateau20""]","[""/panels/full_granularity_ladder/cells/0/runs/1/csv_plateau20""]","[""OCC-ddfb7a5f57ea6568""]","[""full_granularity_ladder""]"
MEAS-6f12852ae7c9a366,RUN-4912746,legacy_plateau20,test,accuracy_percent,91.31,80,100,20,parsed raw epoch count; legacy terminal CSV window,100,True,4912746,0,439f9b1874559d63e1c06bcd03bc0a050d25f1b34f996aa7ab0b5c69550db3dc,"[""archive/Account2/runs/cfr1-lay-C-s0-4912746.out""]","[""csv_plateau20""]","[""/panels/full_granularity_ladder/cells/0/runs/2/csv_plateau20""]","[""OCC-ddfb7a5f57ea6568""]","[""full_granularity_ladder""]"
