cell_id,metric,run_id,measurement_id,value,seed,job_id,start_epoch_index,end_epoch_index_exclusive,raw_sha256
CELL-b8c531a724ed6e51,legacy_plateau20,RUN-4700658,MEAS-300beca51550903d,71.615,2,4700658,80,100,4faaae28ec11cac3919a2d1b1af5b9c06c6fc0a4be9cc446b9d3709cb6492bfb
CELL-f9804635c7534107,plateau5,RUN-4700632,MEAS-f9ebc0e3b39baa8e,12.586,0,4700632,95,100,d2a82a38fb17c91e90520e2888ef77c376fe0465ff587a385de2c7dd028c16ab
CELL-f9804635c7534107,plateau5,RUN-4700646,MEAS-16e600eb5d4ce17f,10.0,1,4700646,95,100,623f359af09b7f618424b2d0e58d84b54b79639e7f92d62a52341786491947fc
CELL-f9804635c7534107,plateau5,RUN-4700660,MEAS-9d074f14726fe611,16.226,2,4700660,95,100,87420df42f59502fb1fbe16991be6414cbc9ea08ff4e23856f637d595f7a89b4
CELL-60a9c0d0e9124f24,legacy_plateau20,RUN-4700632,MEAS-2f526a983d747dbb,11.841,0,4700632,80,100,d2a82a38fb17c91e90520e2888ef77c376fe0465ff587a385de2c7dd028c16ab
CELL-60a9c0d0e9124f24,legacy_plateau20,RUN-4700646,MEAS-72980087fdd4d8ad,10.0,1,4700646,80,100,623f359af09b7f618424b2d0e58d84b54b79639e7f92d62a52341786491947fc
CELL-60a9c0d0e9124f24,legacy_plateau20,RUN-4700660,MEAS-c687c3755ffe1c35,15.952,2,4700660,80,100,87420df42f59502fb1fbe16991be6414cbc9ea08ff4e23856f637d595f7a89b4
CELL-72305fa2541b97be,plateau5,RUN-4700621,MEAS-8734e38e59cc8db5,91.648,0,4700621,95,100,706f844e2a5ef37fe215e169dbe84649f9301dc875410b66f13fa62183b9025f
CELL-72305fa2541b97be,plateau5,RUN-4700635,MEAS-3e9917a34362cc54,91.41,1,4700635,95,100,027a70dacf28eabbd6fd22cfd7b8be409e66c04804a7e8ef58c890b966997ddf
CELL-72305fa2541b97be,plateau5,RUN-4700649,MEAS-481449b8cc8f9111,91.714,2,4700649,95,100,9fa2bbcdbd27832533e16adb0d5a161c352a07822f9936a3aecced94b6746375
CELL-45025f389de0ba31,legacy_plateau20,RUN-4700621,MEAS-4a4ae53518aadca8,91.442,0,4700621,80,100,706f844e2a5ef37fe215e169dbe84649f9301dc875410b66f13fa62183b9025f
CELL-45025f389de0ba31,legacy_plateau20,RUN-4700635,MEAS-b02a6a4fbef649b4,91.35,1,4700635,80,100,027a70dacf28eabbd6fd22cfd7b8be409e66c04804a7e8ef58c890b966997ddf
CELL-45025f389de0ba31,legacy_plateau20,RUN-4700649,MEAS-54354efa31f55c8a,91.697,2,4700649,80,100,9fa2bbcdbd27832533e16adb0d5a161c352a07822f9936a3aecced94b6746375
CELL-9d13917ab48e1d22,plateau5,RUN-4700623,MEAS-064c4ee7064db1fd,91.75,0,4700623,95,100,b2cf218e522cfb5fd39fb9bef9e445617faf26685623d89422acc0f0257d7ff1
CELL-9d13917ab48e1d22,plateau5,RUN-4700637,MEAS-0480efb51ce66bd5,91.322,1,4700637,95,100,5e56989a81b3538e3ccc31c4833a84dc6e640c1634f68e3991d7ae85ef87594f
CELL-9d13917ab48e1d22,plateau5,RUN-4700651,MEAS-4390fafe9c95b48b,91.592,2,4700651,95,100,afc98f1af3e773b2c174c4428985295af90cecef3062cc5feae3337c1aa25ccf
CELL-34284ea043e4c1ac,legacy_plateau20,RUN-4700623,MEAS-7abcc702da8b293f,91.587,0,4700623,80,100,b2cf218e522cfb5fd39fb9bef9e445617faf26685623d89422acc0f0257d7ff1
CELL-34284ea043e4c1ac,legacy_plateau20,RUN-4700637,MEAS-9854305c4ccd52a4,91.428,1,4700637,80,100,5e56989a81b3538e3ccc31c4833a84dc6e640c1634f68e3991d7ae85ef87594f
CELL-34284ea043e4c1ac,legacy_plateau20,RUN-4700651,MEAS-fac4d25a1426b0f1,91.591,2,4700651,80,100,afc98f1af3e773b2c174c4428985295af90cecef3062cc5feae3337c1aa25ccf
CELL-134171678af27b82,plateau5,RUN-4700625,MEAS-9df4fa3df587c7c7,91.672,0,4700625,95,100,60d45d121a7fbbe686fe4769fa5dccb680c01e095cb8975884377029e5f12dc4
CELL-134171678af27b82,plateau5,RUN-4700639,MEAS-0660b8d64b99dc39,92.21,1,4700639,95,100,92b232dd9fc478d7b0aff83658e22b106886fe9a01d51dd02495be834c3366a8
CELL-134171678af27b82,plateau5,RUN-4700653,MEAS-ae0d0d6f9871a523,91.606,2,4700653,95,100,a485402d2ddaf548322c3707426c32a40046c7c23cbff63f76ee16d97a9eb916
CELL-b43d5a7e18a44e1f,legacy_plateau20,RUN-4700625,MEAS-c80d14ce2b26526c,91.665,0,4700625,80,100,60d45d121a7fbbe686fe4769fa5dccb680c01e095cb8975884377029e5f12dc4
CELL-b43d5a7e18a44e1f,legacy_plateau20,RUN-4700639,MEAS-34c656c8a78aee51,92.109,1,4700639,80,100,92b232dd9fc478d7b0aff83658e22b106886fe9a01d51dd02495be834c3366a8
CELL-b43d5a7e18a44e1f,legacy_plateau20,RUN-4700653,MEAS-0f036e5520f18ac3,91.734,2,4700653,80,100,a485402d2ddaf548322c3707426c32a40046c7c23cbff63f76ee16d97a9eb916
CELL-ed97f4c0e9062ec2,plateau5,RUN-4700627,MEAS-7187e202f1e06e61,93.194,0,4700627,95,100,0d6c349f2a2f5a32be2d7cedb076b123b62b72a0a1d54b4ccebeede769d32354
CELL-ed97f4c0e9062ec2,plateau5,RUN-4700641,MEAS-084911e59d4b385f,93.284,1,4700641,95,100,42f80180bc92df1cdd88bf75f9fc738a2f95501acd2d98186ed2e840a1221680
CELL-ed97f4c0e9062ec2,plateau5,RUN-4700655,MEAS-028b550dac8545d4,93.474,2,4700655,95,100,69f878696bef54420859c58e6d3211ac19263184f894af8f14c0e47ad7978fc6
CELL-2048d6f286f0fe54,legacy_plateau20,RUN-4700627,MEAS-075f0960787bc0e8,93.23,0,4700627,80,100,0d6c349f2a2f5a32be2d7cedb076b123b62b72a0a1d54b4ccebeede769d32354
CELL-2048d6f286f0fe54,legacy_plateau20,RUN-4700641,MEAS-5011ff2c7ddd0fa0,93.213,1,4700641,80,100,42f80180bc92df1cdd88bf75f9fc738a2f95501acd2d98186ed2e840a1221680
CELL-2048d6f286f0fe54,legacy_plateau20,RUN-4700655,MEAS-cd688c2267f4439a,93.47,2,4700655,80,100,69f878696bef54420859c58e6d3211ac19263184f894af8f14c0e47ad7978fc6
CELL-ea6353afa7675d65,plateau5,RUN-4700629,MEAS-bd6caae0b5245edf,92.19,0,4700629,95,100,83577e1e576f9f0a3a5af6b3855374acd18f1756eef7a3c5f448adb44d2f076b
CELL-ea6353afa7675d65,plateau5,RUN-4700643,MEAS-1f39c13031990513,92.216,1,4700643,95,100,593cda8123a68197f7bbd9e06c0f7d90e1277e78388e8836739c92155624ae29
CELL-ea6353afa7675d65,plateau5,RUN-4700657,MEAS-8197eaddf968171c,92.222,2,4700657,95,100,49a7f5db8e3feb5c54e7869cf41cc124cc6baf25863a71f605298d9798d01fdc
CELL-c1c2413dcd4311eb,legacy_plateau20,RUN-4700629,MEAS-dff24781454d2124,92.191,0,4700629,80,100,83577e1e576f9f0a3a5af6b3855374acd18f1756eef7a3c5f448adb44d2f076b
CELL-c1c2413dcd4311eb,legacy_plateau20,RUN-4700643,MEAS-8d7279fd2c8a59e5,92.124,1,4700643,80,100,593cda8123a68197f7bbd9e06c0f7d90e1277e78388e8836739c92155624ae29
CELL-c1c2413dcd4311eb,legacy_plateau20,RUN-4700657,MEAS-000dc44dff5ee086,92.228,2,4700657,80,100,49a7f5db8e3feb5c54e7869cf41cc124cc6baf25863a71f605298d9798d01fdc
CELL-8ccc2df44adc0911,plateau5,RUN-4700631,MEAS-f6636e6b3a8cd105,90.208,0,4700631,95,100,b95080d723782d7e5bd81558449cf5cb734a05dc432aebd9b832f74d5c5579f1
CELL-8ccc2df44adc0911,plateau5,RUN-4700645,MEAS-b83196f943a3864f,89.958,1,4700645,95,100,cae2f5111f633b90e5fea1791f7fa93c9f3d272feaf08f1c944f315943453ef5
CELL-8ccc2df44adc0911,plateau5,RUN-4700659,MEAS-e7aee1271cb64974,90.098,2,4700659,95,100,0c7ca773c4167070efcd8aa08f1a7fa32899769b635af497ea9c82afc0252fce
CELL-2856ca3cba2ca925,legacy_plateau20,RUN-4700631,MEAS-81fc75ca630464f1,90.12,0,4700631,80,100,b95080d723782d7e5bd81558449cf5cb734a05dc432aebd9b832f74d5c5579f1
CELL-2856ca3cba2ca925,legacy_plateau20,RUN-4700645,MEAS-8b35877c99575e33,89.773,1,4700645,80,100,cae2f5111f633b90e5fea1791f7fa93c9f3d272feaf08f1c944f315943453ef5
CELL-2856ca3cba2ca925,legacy_plateau20,RUN-4700659,MEAS-9852908c7c60308b,90.069,2,4700659,80,100,0c7ca773c4167070efcd8aa08f1a7fa32899769b635af497ea9c82afc0252fce
CELL-eb50663a49cb6f5a,plateau5,RUN-4700633,MEAS-a8b02809b4e35951,86.994,0,4700633,95,100,e02ae90bc954538a79fb2a37c374730a7244ccd5b24d3344232bc465ecc4c146
CELL-eb50663a49cb6f5a,plateau5,RUN-4700647,MEAS-9e4c38019f6925b8,80.468,1,4700647,95,100,7bb6d3ba8b0c905c1dad79bd834282a1ff0aa079f9d4a1b5e101c9ae6fb70eca
CELL-eb50663a49cb6f5a,plateau5,RUN-4700661,MEAS-a41cb7debee94cca,10.0,2,4700661,95,100,c3afb8c83d989f7349b113036b42c1cdcafdf00f57e0c7fe79f9001aff9bc33a
CELL-33e0fcba28f12c78,legacy_plateau20,RUN-4700633,MEAS-23141bdf834c551f,86.858,0,4700633,80,100,e02ae90bc954538a79fb2a37c374730a7244ccd5b24d3344232bc465ecc4c146
CELL-33e0fcba28f12c78,legacy_plateau20,RUN-4700647,MEAS-17ed43597d0cde76,80.333,1,4700647,80,100,7bb6d3ba8b0c905c1dad79bd834282a1ff0aa079f9d4a1b5e101c9ae6fb70eca
CELL-33e0fcba28f12c78,legacy_plateau20,RUN-4700661,MEAS-5c1e13ac19c75186,10.0,2,4700661,80,100,c3afb8c83d989f7349b113036b42c1cdcafdf00f57e0c7fe79f9001aff9bc33a
CELL-2523b35637d8b308,plateau5,RUN-4700694,MEAS-0d8491e6a9b7c7f8,63.594,0,4700694,95,100,492555e6d324fa736f7d4a6d7adbad77408a25f24fda6a94646c9931abb03942
CELL-2523b35637d8b308,plateau5,RUN-4700695,MEAS-66264cafbc3ea33f,62.77,1,4700695,95,100,d37c1780d3bae6b2ac7f2821aea2aac2559ef597330f6ddb88f0b6ea0f7bb227
CELL-2523b35637d8b308,plateau5,RUN-4700696,MEAS-267700ad9388f4ca,63.9,2,4700696,95,100,89219d9c68e59af5ced7d758361c45b12e61e3cf89c4c5ff2f2c54ad2d474ec7
CELL-f3948571f3c1dac7,legacy_plateau20,RUN-4700694,MEAS-64069e286fb3ce8f,63.495,0,4700694,80,100,492555e6d324fa736f7d4a6d7adbad77408a25f24fda6a94646c9931abb03942
CELL-f3948571f3c1dac7,legacy_plateau20,RUN-4700695,MEAS-ec65a2ac1d0c7618,62.716,1,4700695,80,100,d37c1780d3bae6b2ac7f2821aea2aac2559ef597330f6ddb88f0b6ea0f7bb227
CELL-f3948571f3c1dac7,legacy_plateau20,RUN-4700696,MEAS-6e9339ee62f2aaca,63.789,2,4700696,80,100,89219d9c68e59af5ced7d758361c45b12e61e3cf89c4c5ff2f2c54ad2d474ec7
CELL-8722d1c3efac2b0f,plateau5,RUN-4700534,MEAS-a8e32cbd4e16f127,84.008,0,4700534,95,100,50cd61edbaece3f030c81f46c1715fec7a2ef48235f05c5d39ede16c38d88338
CELL-8722d1c3efac2b0f,plateau5,RUN-4700535,MEAS-5a594cef91a4d693,83.82,1,4700535,95,100,846681c9bb45da10b4f7ad982a168891f7a690d6e9c7d53fc2bba149a05934c5
CELL-cea4b410e92c4aa8,legacy_plateau20,RUN-4700534,MEAS-3c3b4eba24cc0ca4,83.986,0,4700534,80,100,50cd61edbaece3f030c81f46c1715fec7a2ef48235f05c5d39ede16c38d88338
CELL-cea4b410e92c4aa8,legacy_plateau20,RUN-4700535,MEAS-311f0200726a33ae,83.782,1,4700535,80,100,846681c9bb45da10b4f7ad982a168891f7a690d6e9c7d53fc2bba149a05934c5
CELL-45fb5b59171ddf65,plateau5,RUN-4700538,MEAS-e85b80b6a714a7b1,93.234,0,4700538,95,100,b2ec928260fd6a4db5964d4a39dfcd64c673ea86eed0caa8ee142e23eb50e89e
CELL-45fb5b59171ddf65,plateau5,RUN-4700539,MEAS-62cb41460f4ec627,92.974,1,4700539,95,100,54894f3c8f872946d8b7ea6d9d86e0afa8c3da8294548180a3c627194652608d
CELL-45fb5b59171ddf65,plateau5,RUN-4700700,MEAS-1d0b00a7695721e7,92.878,2,4700700,95,100,2f33d3cbe9b7fa3404d2912bf6d3bf38a8a2e6309e597bb48fa87a951b85d9c1
CELL-45fb5b59171ddf65,plateau5,RUN-4700701,MEAS-24e8fc691cd7a531,93.008,3,4700701,95,100,09263407b631d151d69a8c07f2e440829a29b3e3c8e313e05f4f8e67985835e3
CELL-06ad594d90ac78c0,legacy_plateau20,RUN-4700538,MEAS-96842ceb54efc607,93.041,0,4700538,80,100,b2ec928260fd6a4db5964d4a39dfcd64c673ea86eed0caa8ee142e23eb50e89e
CELL-06ad594d90ac78c0,legacy_plateau20,RUN-4700539,MEAS-34bc82fbe6a187f9,92.883,1,4700539,80,100,54894f3c8f872946d8b7ea6d9d86e0afa8c3da8294548180a3c627194652608d
CELL-06ad594d90ac78c0,legacy_plateau20,RUN-4700700,MEAS-3bde6788e81fedba,92.73,2,4700700,80,100,2f33d3cbe9b7fa3404d2912bf6d3bf38a8a2e6309e597bb48fa87a951b85d9c1
CELL-06ad594d90ac78c0,legacy_plateau20,RUN-4700701,MEAS-5612387f69b8cde5,92.936,3,4700701,80,100,09263407b631d151d69a8c07f2e440829a29b3e3c8e313e05f4f8e67985835e3
CELL-61a0e5fb45192ef0,plateau5,RUN-4700540,MEAS-629557836f7041f8,94.16,0,4700540,95,100,fd9be42fab5a76e29dd6c18b0f7465cba7bae60f03340b93c7e0f8ba941b29c6
CELL-61a0e5fb45192ef0,plateau5,RUN-4700541,MEAS-dde6ff884f565eb2,93.998,1,4700541,95,100,10fcdd92aa2951555796a7f140ef2629aea8f5b7c8110cba295c49b637ae3566
CELL-61a0e5fb45192ef0,plateau5,RUN-4700702,MEAS-40d788032e1b8707,93.88,2,4700702,95,100,ddc0bf619f9b55c3c9247c4a91046099e1dc2669eacf73ca0c3f7b8e6e7a5bff
CELL-7d7af39dbcf83bb2,legacy_plateau20,RUN-4700540,MEAS-d1ab659d1e0f6215,94.047,0,4700540,80,100,fd9be42fab5a76e29dd6c18b0f7465cba7bae60f03340b93c7e0f8ba941b29c6
CELL-7d7af39dbcf83bb2,legacy_plateau20,RUN-4700541,MEAS-ee9228aa18a9c953,93.925,1,4700541,80,100,10fcdd92aa2951555796a7f140ef2629aea8f5b7c8110cba295c49b637ae3566
CELL-7d7af39dbcf83bb2,legacy_plateau20,RUN-4700702,MEAS-0deea590b2bfe6cc,93.787,2,4700702,80,100,ddc0bf619f9b55c3c9247c4a91046099e1dc2669eacf73ca0c3f7b8e6e7a5bff
CELL-fc8dc18df305f9ca,plateau5,RUN-4700542,MEAS-c5b94d85cd3c07d9,94.2,0,4700542,95,100,5085b3fc065309f93bd1e95e71e1e946f26f6c2f8fcd5cc8aa3e97d0f968365b
CELL-fc8dc18df305f9ca,plateau5,RUN-4700543,MEAS-2bf16c991d3914ba,94.256,1,4700543,95,100,fae2e6c91f966a7d3ad79675a5c207f0147b11fe2a2507902a412b23ca62f39a
CELL-fc8dc18df305f9ca,plateau5,RUN-4700703,MEAS-be73440eef191a81,94.5,2,4700703,95,100,181e957e92c2965b67bb7dcedda8fbc04b685a30e1894bfb62a2eaad238e482d
CELL-1c844fe85a2f7182,legacy_plateau20,RUN-4700542,MEAS-9380f5242685dc2c,93.957,0,4700542,80,100,5085b3fc065309f93bd1e95e71e1e946f26f6c2f8fcd5cc8aa3e97d0f968365b
CELL-1c844fe85a2f7182,legacy_plateau20,RUN-4700543,MEAS-9c4530bcd60bca1a,94.099,1,4700543,80,100,fae2e6c91f966a7d3ad79675a5c207f0147b11fe2a2507902a412b23ca62f39a
CELL-1c844fe85a2f7182,legacy_plateau20,RUN-4700703,MEAS-976a77b6ebf726d6,94.175,2,4700703,80,100,181e957e92c2965b67bb7dcedda8fbc04b685a30e1894bfb62a2eaad238e482d
CELL-251f24dc1cb619a6,plateau5,RUN-4700546,MEAS-d320efbcf36dffc0,93.756,0,4700546,95,100,825c8d0a69b646fe062f50f878aa1b40d1a3975d822bee92e2a844fe2828167f
CELL-251f24dc1cb619a6,plateau5,RUN-4700547,MEAS-80fd6c9b7a7757d9,93.884,1,4700547,95,100,8376efaae7b46ba3da3e5dd84cb17059f7c4c4a5a6fbc095429a1c2fa81d8a6c
CELL-9f5ada207a5ae8ca,legacy_plateau20,RUN-4700546,MEAS-aa7e95624df5abf3,92.46,0,4700546,80,100,825c8d0a69b646fe062f50f878aa1b40d1a3975d822bee92e2a844fe2828167f
CELL-9f5ada207a5ae8ca,legacy_plateau20,RUN-4700547,MEAS-03c087e20c67ac89,92.701,1,4700547,80,100,8376efaae7b46ba3da3e5dd84cb17059f7c4c4a5a6fbc095429a1c2fa81d8a6c
CELL-6a58b30bc634657f,plateau5,RUN-4700697,MEAS-8b50016e3a44dfdb,65.806,0,4700697,95,100,1e5cbad1b1da29736eba7ec61d0d678ef0e0a9dcfae7fd5e61a40117eaa7cb89
CELL-6a58b30bc634657f,plateau5,RUN-4700698,MEAS-e84d8129f381376b,64.798,1,4700698,95,100,bd057b5d83d08a8aad6f6a14f28133dde30a5e4d84ea2569dc82fb48e51ed0ef
CELL-6a58b30bc634657f,plateau5,RUN-4700699,MEAS-af9b59a670631009,64.762,2,4700699,95,100,4a982265db5212038d4a36a2f5443944eb3e29152394e8c1075e8e4517d16b27
CELL-e8a351e27b79b054,legacy_plateau20,RUN-4700697,MEAS-e7c108582c57c5c5,56.532,0,4700697,80,100,1e5cbad1b1da29736eba7ec61d0d678ef0e0a9dcfae7fd5e61a40117eaa7cb89
CELL-e8a351e27b79b054,legacy_plateau20,RUN-4700698,MEAS-21ff531794280388,52.472,1,4700698,80,100,bd057b5d83d08a8aad6f6a14f28133dde30a5e4d84ea2569dc82fb48e51ed0ef
CELL-e8a351e27b79b054,legacy_plateau20,RUN-4700699,MEAS-43cb36a946bbca0b,50.148,2,4700699,80,100,4a982265db5212038d4a36a2f5443944eb3e29152394e8c1075e8e4517d16b27
CELL-28ab05bc7a1d30be,plateau5,RUN-4700672,MEAS-8298c1bbe0bde9ba,10.0,0,4700672,295,300,bbb298b5ab103a75faf22429163cb273cf328e2dbd10d4261732aa3552af72c3
CELL-28ab05bc7a1d30be,plateau5,RUN-4700680,MEAS-bf405c72d63d60d4,17.19,1,4700680,295,300,7273c8377f5f85033620be67202716fca39c96f4a34680476fa24797c598c4ed
CELL-198b4c6437ad1820,legacy_plateau20,RUN-4700672,MEAS-58e2fb9ff15d5c42,10.0,0,4700672,280,300,bbb298b5ab103a75faf22429163cb273cf328e2dbd10d4261732aa3552af72c3
CELL-198b4c6437ad1820,legacy_plateau20,RUN-4700680,MEAS-f234094e3b4667b4,17.003,1,4700680,280,300,7273c8377f5f85033620be67202716fca39c96f4a34680476fa24797c598c4ed
CELL-b1a85f9b8cd302a5,plateau5,RUN-4700670,MEAS-ab35de7781ff8934,65.186,0,4700670,295,300,db78f3eb30c84dc26cddad006c4d4d5d7b7d7a31a21366ccc982b9fe0b052c34
CELL-b1a85f9b8cd302a5,plateau5,RUN-4700678,MEAS-31e6f7007970b8c5,73.66,1,4700678,295,300,7026dfd59a3173aad6e464ce1398bbb1378ccdd9c015bba17445730f7981fb80
CELL-f0dc4d126afab1a2,legacy_plateau20,RUN-4700670,MEAS-8375793a915387ee,67.73,0,4700670,280,300,db78f3eb30c84dc26cddad006c4d4d5d7b7d7a31a21366ccc982b9fe0b052c34
